CLIENTNUM,Card_Category,Months_on_book
710202783,Blue,13
712899333,Blue,37
767036433,Blue,49
793473033,Blue,45
721232058,Silver,41
719443683,Blue,39
715449333,Blue,47
717998058,Blue,13
779610033,Blue,47
827332983,Gold,42
721183983,Blue,31
718426533,Blue,32
710698233,Blue,28
780253533,Blue,49
793581933,Silver,44
719229708,Blue,31
715158483,Blue,40
809296308,Blue,41
778176108,Blue,51
796532958,Blue,53
709345008,Blue,39
717049533,Blue,28
719366358,Blue,40
721417233,Blue,25
711622683,Blue,30
714578283,Blue,37
769574883,Blue,32
717643608,Blue,36
709198158,Blue,36
712419708,Blue,48
709103358,Blue,36
716966808,Blue,37
772264383,Blue,33
721057758,Blue,47
769137108,Blue,37
717640083,Blue,36
716445783,Blue,31
708579633,Gold,28
718715583,Blue,56
778686408,Blue,29
715015683,Blue,34
805254708,Blue,31
710462433,Blue,30
721342383,Blue,34
720179883,Blue,25
794977533,Blue,56
779445108,Blue,13
718193958,Blue,53
710955633,Blue,42
716149383,Blue,36
752604633,Blue,50
713889933,Blue,48
709446783,Blue,38
789115833,Blue,32
711242058,Blue,36
787623858,Silver,24
709040508,Blue,38
708864708,Blue,36
717758583,Blue,36
715416633,Blue,36
717956283,Blue,48
721379433,Blue,28
712027683,Blue,35
716027208,Blue,36
720475233,Blue,43
712275108,Blue,33
718121658,Blue,44
711593808,Blue,46
716222808,Blue,36
718731183,Blue,49
788779008,Blue,38
710404533,Blue,37
711173058,Blue,45
715383108,Blue,44
711697158,Blue,36
709186983,Blue,40
808964433,Blue,41
711948333,Blue,36
710541858,Blue,33
713865333,Blue,38
797707008,Blue,38
713490483,Blue,48
720370533,Blue,44
779743908,Blue,29
718675158,Blue,36
710784333,Blue,36
816596583,Blue,40
717517758,Blue,45
712880283,Blue,22
753226158,Blue,24
720605808,Blue,36
758317233,Blue,28
711028308,Blue,36
814852533,Blue,45
711526533,Blue,25
804403908,Blue,45
716999883,Blue,41
716452083,Blue,46
787599258,Blue,29
714495258,Blue,36
717713283,Blue,33
789317883,Blue,44
714500883,Blue,36
789467508,Blue,56
710317758,Blue,29
711231558,Blue,40
716829483,Blue,28
779713608,Blue,36
711628458,Blue,31
718943508,Blue,33
770724558,Blue,28
783561558,Blue,51
719309958,Blue,35
788785083,Blue,25
780481308,Blue,24
711757383,Blue,42
787550808,Blue,40
779863533,Blue,21
714529233,Blue,24
708177333,Silver,36
812019933,Blue,56
708557358,Blue,28
713580633,Blue,32
711466533,Blue,33
802276683,Blue,50
780913308,Blue,34
808897683,Blue,48
719428308,Blue,41
713010483,Blue,36
717006333,Blue,36
787621158,Blue,25
716924058,Blue,49
720916683,Blue,26
720923658,Blue,39
712710708,Blue,36
718939083,Blue,45
779519058,Platinum,34
719085933,Blue,24
715124958,Blue,36
712979133,Blue,41
712006308,Blue,35
710801133,Blue,36
712490283,Blue,41
720071583,Blue,36
717958833,Blue,35
812420358,Blue,56
712370208,Blue,35
715940358,Blue,42
715041333,Blue,29
712797258,Blue,33
769170558,Blue,47
715884858,Blue,36
796343058,Blue,43
783910008,Blue,31
718888308,Blue,36
785114808,Silver,40
709852908,Blue,36
823528833,Blue,46
719679858,Blue,47
827108583,Blue,51
787833333,Blue,35
719781183,Blue,38
710429358,Blue,48
798792408,Blue,42
710280558,Blue,39
809825358,Blue,48
714451833,Blue,36
713943783,Blue,32
710706558,Blue,42
713620308,Blue,35
813453408,Blue,35
818248383,Blue,28
780106908,Blue,38
708938508,Blue,36
709671708,Blue,36
711204483,Blue,46
801728658,Blue,47
713945883,Blue,52
779558733,Silver,36
788370258,Blue,30
714927333,Blue,52
710383158,Silver,41
798007308,Blue,51
711768858,Blue,36
714888633,Blue,42
712650333,Blue,37
719945433,Blue,48
720310458,Blue,32
718344033,Blue,35
715442958,Blue,36
780326883,Blue,40
711157833,Blue,36
719704308,Blue,36
708772308,Blue,24
817663908,Blue,42
780054258,Blue,25
709990983,Blue,36
818045958,Blue,41
716380683,Blue,36
787480158,Blue,45
778461408,Blue,23
713861733,Blue,36
789291633,Blue,51
789513858,Blue,35
778357458,Blue,24
718325883,Blue,32
720344658,Blue,23
809292483,Blue,39
779791008,Blue,32
779557533,Blue,40
795904233,Blue,32
710573808,Blue,36
717418158,Blue,36
771963708,Blue,45
712433508,Blue,50
779320983,Blue,28
718093233,Blue,45
719459358,Blue,41
717728808,Blue,26
788701608,Blue,26
778506633,Blue,23
719989008,Blue,36
791839233,Blue,36
716918508,Blue,24
717321783,Blue,45
799000008,Blue,51
721517208,Blue,30
719068683,Blue,36
709120008,Blue,36
709117533,Blue,36
816594183,Blue,53
789485433,Blue,34
712881483,Blue,45
712689333,Blue,28
771492408,Blue,28
711668283,Blue,37
772684833,Blue,22
712960308,Blue,36
713530833,Blue,48
756065433,Blue,19
710997183,Gold,36
711146358,Blue,29
716144058,Blue,25
778699908,Blue,24
713571258,Silver,26
711676908,Blue,36
719315508,Blue,36
778623858,Blue,38
714665733,Blue,36
816089433,Blue,44
716991933,Blue,35
714534108,Blue,36
787456608,Blue,15
717090183,Blue,50
772782708,Blue,40
710722908,Blue,36
795155433,Blue,38
715271733,Blue,37
771706308,Blue,34
713989233,Blue,53
780198258,Blue,36
802002858,Blue,56
716290233,Blue,33
828298908,Blue,50
788946783,Blue,36
720697908,Blue,21
780598383,Blue,23
715345833,Blue,36
710831133,Blue,36
766706358,Blue,32
816533733,Blue,45
712373208,Blue,35
721433283,Blue,20
720680058,Blue,36
716909283,Blue,48
754654383,Blue,23
719226333,Blue,24
779759058,Blue,41
718206783,Gold,36
715783758,Blue,30
771190083,Blue,23
713135883,Blue,53
778799583,Blue,24
808796208,Blue,49
708313608,Blue,43
779330208,Blue,44
794498733,Blue,21
807964908,Blue,36
823845783,Blue,49
711748983,Blue,17
718064283,Blue,34
710492733,Blue,19
779016408,Blue,27
717787533,Blue,40
714851058,Blue,21
823535133,Blue,41
708455883,Blue,36
780095808,Blue,30
709207458,Blue,27
763895958,Blue,46
715942683,Blue,36
721301733,Blue,38
711927108,Blue,36
718083483,Blue,35
717548358,Blue,25
816829608,Blue,39
713936583,Blue,43
709682658,Blue,36
793889508,Blue,42
714648933,Blue,36
711556533,Blue,36
717420333,Blue,26
768921933,Blue,28
714311583,Blue,36
717707133,Blue,24
716043258,Blue,41
716343408,Blue,38
718909158,Blue,25
719471433,Blue,22
712763808,Blue,36
711147483,Blue,28
719788833,Blue,36
715168983,Blue,36
714306258,Blue,46
713828208,Blue,36
710574558,Blue,41
710947683,Blue,51
711113958,Blue,25
718923858,Silver,29
752666508,Silver,34
712672083,Blue,36
719863758,Blue,41
720990183,Blue,36
720718908,Blue,36
721250358,Blue,36
779773533,Blue,34
708249708,Blue,39
713967783,Blue,52
779506158,Blue,22
759823158,Blue,39
716608608,Blue,33
789528183,Blue,31
708895158,Blue,34
824805858,Blue,35
720840108,Blue,24
787595658,Blue,29
720244983,Blue,28
713220258,Blue,36
813469458,Blue,20
788939358,Blue,33
718870158,Blue,34
788673708,Blue,45
711809283,Blue,36
816513108,Blue,49
718594608,Blue,36
823606983,Blue,35
717028158,Blue,44
788485908,Blue,37
714472608,Blue,49
710793783,Blue,40
794340033,Blue,28
716462658,Blue,36
718050033,Blue,43
714023808,Blue,33
716341833,Blue,44
719648358,Blue,35
816600933,Blue,51
714208533,Blue,36
713095533,Blue,36
809967783,Blue,26
715848408,Blue,52
714414483,Blue,44
708655983,Blue,40
720426708,Blue,45
713743158,Blue,36
721279083,Blue,33
779149683,Blue,13
714970458,Blue,29
719070108,Silver,35
715490733,Blue,36
714989583,Blue,36
820355433,Blue,38
715901508,Blue,25
710370483,Blue,31
778573233,Blue,54
708833133,Blue,29
719885883,Blue,36
712523283,Blue,41
711309033,Blue,24
708134283,Blue,36
720147633,Blue,47
708983658,Blue,39
766285608,Blue,35
779715108,Blue,30
798035358,Blue,40
719391783,Blue,35
809342208,Blue,19
780713058,Blue,35
779338683,Blue,44
783387783,Blue,49
787800108,Blue,45
721397808,Blue,24
778698408,Blue,18
709545333,Blue,29
716032233,Blue,32
717835908,Blue,22
719466558,Blue,36
778663458,Blue,47
716024808,Blue,36
713008308,Blue,47
794831733,Blue,39
713854608,Blue,36
715993608,Blue,41
789368658,Blue,47
802817358,Blue,32
708098133,Blue,19
801499908,Blue,37
824770683,Blue,47
718310733,Blue,36
708162558,Blue,54
721129383,Blue,36
721249158,Blue,30
721049658,Blue,34
806392908,Blue,47
714886533,Blue,36
772375533,Blue,19
826775058,Blue,39
711878733,Blue,48
714550383,Blue,36
712636308,Blue,45
772139433,Blue,33
709058808,Blue,36
813240408,Blue,39
767753958,Blue,31
710111733,Blue,39
761544333,Blue,30
788814783,Blue,22
715034358,Blue,32
709624533,Blue,45
709942383,Blue,36
803957508,Blue,47
713378133,Silver,39
709217358,Blue,36
720998358,Silver,41
721051908,Blue,33
715232058,Blue,53
806250783,Blue,52
817245183,Blue,33
713670333,Blue,52
826477083,Blue,44
788728608,Blue,13
717190533,Blue,36
716580033,Blue,36
711644508,Blue,36
714334383,Blue,42
720611058,Blue,27
712420833,Blue,41
713845083,Blue,36
713756508,Blue,36
735565158,Blue,33
714131058,Blue,36
717180633,Blue,36
717295683,Blue,38
713128833,Blue,36
813499458,Blue,40
710070183,Blue,36
789605658,Blue,35
710045058,Silver,28
710164683,Blue,22
710802258,Blue,38
721036233,Blue,36
710036508,Blue,34
717776808,Blue,39
714906033,Blue,36
714273708,Blue,36
721117533,Blue,26
715374558,Blue,36
824807658,Blue,41
714940608,Blue,36
824782008,Blue,38
717561108,Blue,36
717127083,Blue,25
772460508,Blue,43
720484908,Blue,52
771237933,Blue,34
794664183,Blue,19
797488158,Blue,46
708543258,Blue,36
778706508,Blue,24
712240083,Blue,30
713650683,Blue,56
772532208,Blue,41
778929783,Blue,22
714244383,Blue,36
718797558,Blue,30
712821333,Blue,47
721120008,Blue,29
709633533,Blue,18
710789058,Blue,42
716174433,Blue,54
789886533,Blue,44
715210308,Blue,31
721038408,Blue,27
713325108,Blue,29
720352533,Blue,36
708431433,Blue,31
716996583,Blue,37
718699683,Silver,36
771359958,Silver,26
716604633,Blue,46
813952233,Blue,39
713053383,Blue,36
709979583,Blue,46
709380333,Blue,36
778574283,Blue,46
789875883,Blue,31
714661233,Blue,24
813915933,Blue,40
708358683,Silver,35
824761458,Blue,50
715362183,Blue,36
721194858,Blue,40
803595858,Blue,51
716198358,Blue,36
714173808,Blue,34
709465758,Blue,53
714081558,Blue,36
717364458,Blue,26
778755858,Blue,27
710754933,Blue,49
720007383,Blue,28
810220833,Silver,37
718362783,Blue,27
708267858,Blue,36
708856983,Blue,27
715588908,Blue,32
772674933,Blue,41
720148983,Blue,40
720650208,Blue,22
769732233,Blue,34
713030958,Blue,44
711320508,Blue,49
795795408,Blue,47
717904383,Blue,31
714115533,Blue,18
712475733,Blue,28
718996758,Blue,30
713049933,Blue,36
709961958,Blue,45
718301508,Blue,30
714831033,Blue,47
710653158,Blue,21
721265883,Blue,13
715049583,Blue,54
715394883,Blue,36
773448558,Blue,40
717249783,Blue,39
708344358,Blue,45
712003083,Blue,36
754282908,Blue,43
717412608,Blue,28
719412258,Blue,30
788675658,Blue,29
717683583,Blue,36
820584408,Blue,44
719392833,Blue,38
718595583,Blue,36
778508883,Blue,24
715511658,Blue,39
711999783,Blue,31
753856008,Blue,42
789920883,Blue,36
788677533,Blue,31
716284308,Blue,55
712120608,Blue,27
715482483,Blue,36
720848733,Blue,24
708480333,Blue,36
826723308,Blue,54
801369258,Blue,41
709584483,Blue,25
715708308,Blue,39
779707308,Blue,18
711688158,Blue,27
711848658,Blue,17
715855083,Blue,36
778971408,Blue,17
711648708,Blue,36
713149683,Blue,24
771903033,Blue,25
737925558,Blue,56
803347908,Gold,28
817285758,Blue,33
711480108,Blue,24
709662708,Blue,53
709224858,Blue,36
821771508,Blue,28
712216533,Blue,34
710522433,Blue,46
779046408,Blue,41
708595158,Blue,36
757266933,Blue,45
816776283,Gold,37
719904333,Blue,36
718264233,Blue,13
784798683,Blue,32
710899833,Blue,18
780025908,Silver,30
713610033,Blue,36
709364433,Blue,30
713086908,Blue,36
709793133,Blue,36
710032608,Blue,32
779351208,Blue,34
719776608,Blue,37
709220583,Blue,21
719555733,Blue,36
740852733,Blue,42
709528308,Blue,46
715127208,Blue,36
817144458,Blue,17
710628783,Gold,36
772145658,Blue,32
739594758,Blue,44
789198708,Blue,47
720953658,Blue,36
771330558,Blue,38
714078558,Blue,53
712207683,Blue,36
788826408,Blue,16
790128033,Blue,47
718082208,Blue,30
712037358,Blue,23
711711483,Blue,50
718861458,Blue,36
709426608,Blue,46
811457058,Blue,46
773073558,Blue,36
715937133,Blue,52
713480583,Blue,36
716383683,Blue,36
713693958,Blue,27
715443708,Blue,45
770769483,Blue,21
789326808,Blue,15
712105533,Blue,20
720674133,Blue,16
779216358,Blue,38
717322833,Blue,36
710279508,Blue,42
712168833,Blue,36
780581508,Silver,47
711957708,Blue,36
778782858,Blue,48
712924383,Blue,36
709366458,Blue,36
796990908,Silver,29
715702758,Blue,36
788974608,Blue,35
714790008,Blue,36
787438983,Blue,23
713834358,Blue,25
710084883,Blue,22
710736558,Blue,36
788915283,Blue,29
714916758,Blue,36
789611283,Blue,38
773288958,Blue,31
811721133,Blue,56
813961233,Blue,25
783020958,Blue,33
715764483,Blue,37
798110358,Blue,56
715745508,Blue,34
714350658,Blue,26
826478958,Blue,48
719127558,Blue,31
712454958,Blue,27
718561458,Blue,36
822984108,Blue,30
719469333,Blue,25
720871383,Blue,28
788827308,Blue,50
710180958,Blue,33
778346283,Blue,33
787547208,Blue,38
714983283,Blue,36
789344358,Blue,47
710406633,Blue,36
767653233,Blue,42
719461008,Blue,38
789731433,Blue,13
775198608,Blue,32
717567333,Blue,26
772794108,Blue,36
712072908,Blue,36
709328733,Blue,37
788107683,Blue,27
713757633,Blue,56
713279808,Blue,36
712440483,Blue,44
715078383,Blue,36
709214358,Blue,30
778399008,Blue,30
811534983,Blue,49
719728383,Blue,28
718726833,Blue,28
780605508,Blue,41
719450508,Blue,41
711213108,Blue,36
708488208,Blue,47
717206508,Blue,36
821836008,Blue,53
807244983,Blue,56
821872758,Silver,56
809959683,Blue,50
715079208,Blue,42
767049258,Blue,37
709579383,Blue,50
781923483,Blue,47
718654533,Silver,24
716169258,Blue,39
713908683,Blue,41
708212658,Blue,18
756013833,Blue,50
719358333,Blue,28
713735508,Blue,25
805259733,Blue,50
738749733,Blue,47
814833408,Blue,51
719182308,Blue,27
818497758,Blue,49
719518308,Blue,35
709991883,Blue,42
770901258,Blue,17
711499158,Silver,38
720445533,Blue,53
809951133,Blue,49
714657108,Blue,28
789048858,Blue,20
771816408,Blue,33
798158808,Blue,47
787685658,Blue,33
720141408,Blue,31
788699808,Blue,14
708216108,Blue,44
715074258,Blue,36
771653583,Blue,46
717374358,Blue,22
720836808,Blue,28
818701383,Blue,32
717277833,Blue,13
778137108,Blue,37
720973833,Blue,36
768490458,Blue,43
751487358,Blue,32
712742808,Blue,29
712820208,Blue,36
794649858,Blue,39
755262933,Blue,49
709541433,Blue,36
820622433,Blue,34
712586583,Blue,13
709816158,Silver,36
712196508,Blue,34
767269908,Blue,29
710927733,Blue,36
711310908,Blue,36
788862333,Blue,23
713194608,Blue,36
793550958,Blue,41
712607583,Blue,36
713921058,Blue,48
709183683,Blue,36
713407458,Blue,36
715241583,Blue,25
710475408,Blue,25
708971583,Blue,29
714547458,Blue,56
827631483,Blue,53
711159108,Blue,36
789262683,Blue,49
712940508,Blue,24
789733008,Blue,27
714703158,Blue,36
710255208,Blue,49
779236083,Blue,19
713438358,Blue,30
715973583,Blue,36
794113758,Blue,54
709452633,Blue,36
788210583,Blue,54
717784983,Blue,33
786557358,Blue,38
768460908,Blue,53
718899708,Blue,36
714697533,Blue,15
713206683,Silver,22
708679383,Blue,32
713067033,Blue,28
789314133,Blue,27
713956308,Blue,49
711595833,Blue,36
779521533,Blue,36
715225458,Blue,36
716487408,Blue,30
719338383,Blue,21
710523333,Blue,56
787489083,Blue,43
720747633,Blue,36
779480658,Blue,42
711498258,Blue,42
709316433,Silver,33
778734108,Blue,16
778388358,Blue,36
716773533,Blue,36
822130683,Blue,56
717268458,Blue,49
827888433,Blue,39
716522583,Blue,36
789415983,Blue,27
719819958,Blue,26
769579608,Blue,46
772353408,Blue,33
716615583,Blue,51
781131483,Blue,47
719101908,Blue,39
720521808,Blue,19
718136283,Blue,36
778855383,Blue,17
779722308,Blue,30
818926833,Blue,29
721217283,Blue,17
717167283,Blue,36
713371233,Silver,31
778426608,Blue,32
713823033,Blue,20
787515333,Blue,29
710944608,Blue,31
718444233,Blue,25
771099183,Blue,24
770241333,Blue,43
710819733,Blue,36
772155108,Blue,51
798796233,Blue,31
815472108,Blue,37
769145733,Blue,30
783364233,Blue,53
772236108,Blue,29
715640358,Blue,36
713529858,Silver,22
715684308,Blue,36
709451508,Blue,50
709204158,Blue,24
713182458,Blue,43
710624658,Blue,36
716355783,Blue,30
716793108,Blue,36
716162583,Blue,36
714051033,Blue,36
715007583,Blue,36
719139558,Blue,36
794632308,Silver,25
770662383,Blue,24
714787383,Blue,36
714700158,Blue,46
710581758,Blue,44
720497958,Blue,14
720920058,Blue,25
710872233,Blue,17
709855608,Blue,36
815484783,Blue,42
771602883,Blue,30
755953308,Blue,55
758408883,Blue,30
717940008,Blue,36
720917808,Blue,36
812801958,Blue,50
714997683,Blue,49
709379283,Blue,27
711840408,Blue,55
